% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 750.7100 Hz to 897.0110 Hz with 2,048 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 1.00 us, 3 cycles; Settling time 10.0 us, 3 cycles
% 
% Acquired 2026-04-30 T 14:57:20 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
8.09496353e+02, -9.1222e+00, -1.4382e+02
8.09524954e+02, -9.3739e+00, -1.4458e+02
8.09553556e+02, -9.4697e+00, -1.4441e+02
8.09582158e+02, -8.6790e+00, -1.4581e+02
8.09610762e+02, -9.1825e+00, -1.4341e+02
8.09639367e+02, -9.3994e+00, -1.4469e+02
8.09667973e+02, -8.6266e+00, -1.4559e+02
8.09696580e+02, -9.5358e+00, -1.4274e+02
8.09725188e+02, -9.2463e+00, -1.4558e+02
8.09753797e+02, -8.6714e+00, -1.4729e+02
8.09782406e+02, -9.2691e+00, -1.4203e+02
8.09811017e+02, -8.8807e+00, -1.4657e+02
8.09839629e+02, -9.1018e+00, -1.4503e+02
8.09868242e+02, -9.0968e+00, -1.4353e+02
8.09896856e+02, -8.7438e+00, -1.4643e+02
8.09925471e+02, -9.1006e+00, -1.4438e+02
8.09954087e+02, -8.8152e+00, -1.4553e+02
8.09982704e+02, -8.4778e+00, -1.2722e+02
8.10011322e+02, -9.3347e+00, -1.4425e+02
8.10039941e+02, -8.6827e+00, -1.4519e+02
8.10068561e+02, -8.7733e+00, -1.4388e+02
8.10097182e+02, -9.7677e+00, -1.4373e+02
8.10125804e+02, -8.4576e+00, -1.4918e+02
8.10154427e+02, -9.8813e+00, -1.5585e+02
8.10183051e+02, -6.9650e+00, -1.3328e+02
8.10211676e+02, -8.7182e+00, -1.4563e+02
8.10240302e+02, -9.0140e+00, -1.4282e+02
8.10268929e+02, -8.8060e+00, -1.4523e+02
8.10297557e+02, -9.1082e+00, -1.4470e+02
8.10326186e+02, -8.9830e+00, -1.4437e+02
8.10354816e+02, -8.4455e+00, -1.4520e+02
8.10383448e+02, -9.0099e+00, -1.4383e+02
8.10412080e+02, -9.0772e+00, -1.4590e+02
8.10440713e+02, -8.3738e+00, -1.4622e+02
8.10469347e+02, -1.0059e+01, -1.6413e+02
8.10497982e+02, -7.8449e+00, -1.2905e+02
8.10526618e+02, -8.2290e+00, -1.4847e+02
8.10555256e+02, -8.9425e+00, -1.4142e+02
8.10583894e+02, -8.7846e+00, -1.4637e+02
8.10612533e+02, -8.9624e+00, -1.4682e+02
8.10641173e+02, -8.5210e+00, -1.4505e+02
8.10669814e+02, -8.2191e+00, -1.4560e+02
8.10698457e+02, -1.1704e+01, -1.2824e+02
8.10727100e+02, -8.7796e+00, -1.4493e+02
8.10755744e+02, -8.8805e+00, -1.2485e+02
8.10784389e+02, -8.9073e+00, -1.4479e+02
8.10813036e+02, -8.3463e+00, -1.4637e+02
8.10841683e+02, -8.3763e+00, -1.4401e+02
8.10870331e+02, -8.9064e+00, -1.4364e+02
8.10898981e+02, -8.4258e+00, -1.4662e+02
8.10927631e+02, -8.4519e+00, -1.4878e+02
8.10956282e+02, -8.6608e+00, -1.4321e+02
8.10984935e+02, -8.4208e+00, -1.4619e+02
8.11013588e+02, -8.7497e+00, -1.4437e+02
8.11042243e+02, -8.3683e+00, -1.4586e+02
8.11070898e+02, -8.4593e+00, -1.4444e+02
8.11099554e+02, -9.2165e+00, -1.4444e+02
8.11128212e+02, -8.1704e+00, -1.4578e+02
8.11156870e+02, -8.5608e+00, -1.4332e+02
8.11185530e+02, -8.9646e+00, -1.4483e+02
8.11214190e+02, -7.9511e+00, -1.4835e+02
8.11242852e+02, -8.5802e+00, -1.4342e+02
8.11271514e+02, -8.3523e+00, -1.4401e+02
8.11300178e+02, -8.2520e+00, -1.4653e+02
8.11328842e+02, -1.3237e+01, -1.2504e+02
8.11357508e+02, -7.2272e+00, -1.5842e+02
8.11386174e+02, -8.6076e+00, -1.4511e+02
8.11414842e+02, -8.5198e+00, -1.4487e+02
8.11443510e+02, -8.0364e+00, -1.4568e+02
8.11472180e+02, -8.5814e+00, -1.4494e+02
8.11500851e+02, -8.5738e+00, -1.4643e+02
8.11529522e+02, -7.9786e+00, -1.4590e+02
8.11558195e+02, -8.6510e+00, -1.4274e+02
8.11586868e+02, -8.2298e+00, -1.4578e+02
8.11615543e+02, -8.2462e+00, -1.4700e+02
8.11644219e+02, -6.8500e+00, -1.3496e+02
8.11672895e+02, -8.0200e+00, -1.4569e+02
8.11701573e+02, -8.4568e+00, -1.4457e+02
8.11730252e+02, -8.3282e+00, -1.4774e+02
8.11758932e+02, -7.9259e+00, -1.4559e+02
8.11787612e+02, -8.5449e+00, -1.4417e+02
8.11816294e+02, -8.2465e+00, -1.4608e+02
8.11844977e+02, -7.8636e+00, -1.4475e+02
8.11873661e+02, -8.5230e+00, -1.4404e+02
8.11902345e+02, -7.7730e+00, -1.4780e+02
8.11931031e+02, -8.1382e+00, -1.4519e+02
8.11959718e+02, -8.2520e+00, -1.4281e+02
